artifact_id	file_name	byte_size	sha256_digest	publication_status	description
ngspice46_source_package	ngspice-46.tar.gz	10504768	a0d1699af1940b06649276dcd6ff5a566c8c0cad01b2f7b5e99dedbb4d64c19b	identity_only	Official ngspice 46 complete source archive; archive is not included.
ngspice46_official_vbicload	src/spicelib/devices/vbic/vbicload.c	177252	752518c6b2c943e901ed4f20199aa80e66b04820de9db7ecae774e20a0d746f5	identity_only	Official unpatched source to which the origin diagnostic patch applies.
origin_diagnostic_v2_patch	NGSPICE46-VBIC-VRTH-ORIGIN-DIAGNOSTIC-V2.patch	7007	ae2c5e77827a8e1a9ed742a79e3915391318af1870014b343cbc6e4ef64932e0	published	Exact retained origin diagnostic patch applied first.
origin_diagnostic_v2_source	vbicload_origin_diagnostic_v2.c	180328	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	published	Exact origin-instrumented intermediate source.
stamp_diagnostic_v3_patch	NGSPICE46-VBIC-TEMPNODE-STAMP-DIAGNOSTIC-V3.patch	15137	8a67afa2d84f3c83279d23ccc48235524e0680527575c2830a02632cad235af9	published	Exact corrected temperature-node stamp diagnostic patch applied second.
stamp_diagnostic_audit_v4	NGSPICE46-VBIC-TEMPNODE-STAMP-DIAGNOSTIC-AUDIT-V4.tsv	15143	279a56bb81e2902cf04b45130bc204166b2061889089b98c5e792d3e1abe67a1	published	Corrected static audit for the stamp-diagnostic V3 patch.
stamp_diagnostic_v3_source	vbicload_stamp_diagnostic_v3.c	192533	ee6b2aa917c57a79d1694f885fa9b2ac593c5750da92b910ed2bae1eacdb27c9	published	Exact stamp-instrumented base to which the Ith patch applies.
ith_decomp_v1_patch	NGSPICE46-VBIC-ITH-RHS-DECOMP-DIAGNOSTIC-V1.patch	9953	173babeff5890b9c08e9b9d7c7bcc183eda52cc9692c6ac21a2fb87a9f8cace9	published	Exact read-only Ith RHS decomposition patch applied third.
ith_decomp_audit_v1	NGSPICE46-VBIC-ITH-RHS-DECOMP-DIAGNOSTIC-AUDIT-V1.tsv	46219	2acd6c82011e74fc6833e68806c5d29b5eac98658cc3499d44061f28ce1a3401	published_superseded_semantics	Immutable first audit; local-write inventory and per-line guard containment claims were corrected by V2.
ith_decomp_audit_v2	NGSPICE46-VBIC-ITH-RHS-DECOMP-DIAGNOSTIC-AUDIT-V2.tsv	44211	495bc5e867e37249ffb1ac868aedb129de1774e171ed56578762faceb36eb013	published_corrected	Corrected complete static audit for the declared patch/write/containment scope.
ith_decomp_v1_source	vbicload_ith_rhs_decomp_v1.c	201894	e8939ea16fc58d8998b495e7f5f524b1a272b164b43ae2e9771de224ce4f97ff	published	Exact final applied source built and used by the retained executable.
ith_decomp_executable	ngspice	8037968	99ae102acae6825e5cab5f249180fb5a7c39fb3b6d1d9ec81d8d2f1143f92c2e	identity_only	Executed binary identity; executable is deliberately not published.
