eq	runtime_node_name	pointer	write_sites	derivative_terms	binding_orientation	hierarchy_binding	status
70	xdiv2.e_tail_s	VBICtempCollPtr	vbicload.c:1745	Ith_Vrcx	(VBICtempNode, VBICcollNode)	netlist:91 XQS_COMP_S pin c -> npn13G2 c -> Qnpn13G2 c terminal (VBIC collNode)	SOURCE_EXCLUSIVE
79	xdiv2.c_p1_comp_s	VBICtempBasePtr	vbicload.c:1753	Ith_Vrbx	(VBICtempNode, VBICbaseNode)	netlist:91 pin b -> npn13G2 b -> Qnpn13G2 b terminal (VBIC baseNode)	SOURCE_EXCLUSIVE
98	xdiv2.e_scomp_s	VBICtempEmitPtr	vbicload.c:1761	Ith_Vre	(VBICtempNode, VBICemitNode)	netlist:91 pin e -> npn13G2 e -> Qnpn13G2 e terminal (VBIC emitNode)	SOURCE_EXCLUSIVE
99	xdiv2.xqs_comp_s.s1	VBICtempSubsPtr	vbicload.c:1697,1709,1769	Ith_Vbcp, Ith_Vcep, Ith_Vrs	(VBICtempNode, VBICsubsNode)	npn13G2 internal s1 -> Qnpn13G2 s1 terminal (VBIC subsNode); Rsub s1 bn (lib:141), Csub (lib:142)	SOURCE_EXCLUSIVE
100	xdiv2.xqs_comp_s.t	VBICtempTempPtr	vbicload.c:1548,1560,1652	Irth_Vrth, Icth_Vrth, Ith_Vrth	(VBICtempNode, VBICtempNode)	npn13G2 internal t -> Qnpn13G2 t terminal (VBIC tempNode); Rt t 0 R=1e9 (lib:143) shares the (100,100) diagonal	SOURCE_CAPABLE_NOT_EXCLUSIVE
102	q.xdiv2.xqs_comp_s.qnpn13g2#collector	VBICtempCollCXPtr	vbicload.c:1713,1725,1741,1749	Ith_Vrci, Ith_Vbcx, Ith_Vrbp, Ith_Vrcx	(VBICtempNode, VBICcollCXNode)	CKTmkVolt 'collector' (vbicsetup.c:413, extCollResist!=0)	SOURCE_EXCLUSIVE
103	q.xdiv2.xqs_comp_s.qnpn13g2#base	VBICtempBaseBXPtr	vbicload.c:1681,1689,1705,1729,1757	Ith_Vbex, Ith_Vbep, Ith_Vcep, Ith_Vrbi, Ith_Vrbx	(VBICtempNode, VBICbaseBXNode)	CKTmkVolt 'base' (vbicsetup.c:428, extBaseResist!=0)	SOURCE_EXCLUSIVE
104	q.xdiv2.xqs_comp_s.qnpn13g2#emitter	VBICtempEmitEIPtr	vbicload.c:1661,1677,1685,1765	Ith_Vbei, Ith_Vcei, Ith_Vbex, Ith_Vre	(VBICtempNode, VBICemitEINode)	CKTmkVolt 'emitter' (vbicsetup.c:443)	SOURCE_EXCLUSIVE
105	q.xdiv2.xqs_comp_s.qnpn13g2#substrate	VBICtempSubsSIPtr	vbicload.c:1773	Ith_Vrs	(VBICtempNode, VBICsubsSINode)	CKTmkVolt 'substrate' (vbicsetup.c:458)	SOURCE_EXCLUSIVE
106	q.xdiv2.xqs_comp_s.qnpn13g2#collCI	VBICtempCollCIPtr	vbicload.c:1669,1673,1717	Ith_Vbci, Ith_Vcei, Ith_Vrci	(VBICtempNode, VBICcollCINode)	CKTmkVolt 'collCI' (vbicsetup.c:492)	SOURCE_EXCLUSIVE
107	q.xdiv2.xqs_comp_s.qnpn13g2#baseBP	VBICtempBaseBPPtr	vbicload.c:1693,1701,1737	Ith_Vbep, Ith_Vbcp, Ith_Vrbp	(VBICtempNode, VBICbaseBPNode)	CKTmkVolt 'baseBP' (vbicsetup.c:498)	SOURCE_EXCLUSIVE
108	q.xdiv2.xqs_comp_s.qnpn13g2#baseBI	VBICtempBaseBIPtr	vbicload.c:1657,1665,1721,1733	Ith_Vbei, Ith_Vbci, Ith_Vbcx, Ith_Vrbi	(VBICtempNode, VBICbaseBINode)	CKTmkVolt 'baseBI' (vbicsetup.c:504)	SOURCE_EXCLUSIVE
2	xdiv2.sub!	-	no vbicload.c tempXxxPtr write addresses eq2	-	-	sub! = global substrate net = bn pin of npn13G2; Rsub/Csub stamp rows 99/2 only (not row 100); Rt t 0 stamps (100,0) col 0 (ground), not col 2; no exact chain to the assembled (100,2) entry	NOT_BOUND
