metric_name	value	description
raw_file_size_bytes	7857477	Total byte size of binary raw dataset file
header_size_bytes	18789	Byte size of ASCII raw header including Binary marker (18789 bytes)
payload_size_bytes	7838688	Byte size of binary IEEE-754 double precision payload
variable_count	429	Number of real variables recorded per time point
point_count	2284	Number of time steps recorded
total_scalars	979836	Total double precision scalar count (variables x points)
finite_scalar_count	979836	Number of finite scalar values
nonfinite_scalar_count	0	Number of NaN or Inf scalar values
time_start_s	0.00000000000000000e+00	Initial simulation timestamp
time_end_s	4.00000000000000025e-09	Final simulation timestamp
time_strictly_monotonic_boolean	TRUE	Strict monotonicity check on time vector
