artifact_id	public_file	original_private_byte_size	original_private_sha256	public_byte_size	public_sha256	status	description
failed_before_proof	evidence/build/failed-attempt/before_proof.public.log	326	8c9a97043ad95d106aa358df4ec0f69d98df24eef555f78b2187d390908e922d	326	8c9a97043ad95d106aa358df4ec0f69d98df24eef555f78b2187d390908e922d	published_exact	Clean archive-state scan from failed pre-configure attempt.
failed_apply_p1	evidence/build/failed-attempt/apply_p1.public.log	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	51	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8	published_exact	P1 applied before shell bookkeeping abort.
failed_build_script	evidence/build/failed-attempt/build-script.public.sh	2821	c6d1a9bbbeca794e1636c450ffd3045782f65997a9be7660e9edc9c8fd7efe61	2704	df6e24baae4c42a4a3683c16ec226592aa20e26ec92d045017b4139c0e050a16	published_path_sanitized	$SOURCE_ARCHIVE $CANDIDATE_ROOT and $FAILED_BUILD_ROOT replace private paths; reverse substitution verified.
retry_before_proof	evidence/build/retry/before_proof.public.log	326	7a991c426d9498df1f0692f89984b8282f0ab8e9fae30a6111d4b7df8d648994	326	7a991c426d9498df1f0692f89984b8282f0ab8e9fae30a6111d4b7df8d648994	published_exact	Fresh successful-retry archive-state scan.
retry_apply_p1_to_p6	evidence/build/retry/apply_p1.public.log through apply_p6.public.log	51_each	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8_each	51_each	82ee1c82ff3bbec0b0a4f5f8710ceed31003b94b48a4dcbdf997a4550a6b1bb8_each	published_exact	Six nonempty patching-file logs; exits and hashes in lineage log.
retry_lineage	evidence/build/retry/lineage.public.log	474	79074d9ef61673002fa7535a52b87c060a556c5612edbe4846f786f5a34c5891	474	79074d9ef61673002fa7535a52b87c060a556c5612edbe4846f786f5a34c5891	published_exact	Six exits and intermediate source hashes.
retry_build_script	evidence/build/retry/build-script.public.sh	3527	e8ae487b7f595b91a915c115c70730b185b7c58d067e6f665ec6d5bbd384d027	3396	09b591702b84304944d6a8d1c5bd04ab1d81b7a7e51b5d3e3ad166e1441472cb	published_path_sanitized	$SOURCE_ARCHIVE $CANDIDATE_ROOT and $BUILD_ROOT replace private paths; reverse substitution verified.
retry_script_diff	evidence/build/retry/build-script-correction.public.diff	743	9657518fa5bd1f54359f0908c65c09c6139f09a6b87ca6feed43b17b0a95d35d	743	9657518fa5bd1f54359f0908c65c09c6139f09a6b87ca6feed43b17b0a95d35d	published_exact	Loop bookkeeping correction only.
retry_script_bashn	evidence/build/retry/build-script-bashn.public.log	14	e78e9f89c80180dcf58f9bda1b0b4b3c2c9e4a17f7299487e9ba89a87376a540	14	e78e9f89c80180dcf58f9bda1b0b4b3c2c9e4a17f7299487e9ba89a87376a540	published_exact	BASH_N_EXIT=0.
retry_configure	evidence/build/retry/configure.public.log	17610	63bc1efc4bae02c2883c51c041be4cf39c605c2caf49d5b9134a51b2cc550900	17647	1c278ae8376c077c5505306c43ec9607f9f47c38b2af09ba4810f03a429168ab	published_path_sanitized	$BUILD_ROOT $SYSTEM_BIN and $PROC_ROOT replace private paths; reverse substitution verified; exit 0.
retry_make	evidence/build/retry/make.public.log	242934	fc28ca0eeff12e2e9254951ad6be7c381c99d67f0873fc531b7d5398a4048726	235538	91fddcb288070dfddd33c5119e437722a4ebfd0202aca266c99c185d89dc9a2f	published_path_sanitized	$BUILD_ROOT $SYSTEM_INCLUDE and $SYSTEM_BIN replace private paths; reverse substitution verified; exit 0.
syntax_v1	evidence/build/syntax_v1.public.log	682	8d5bec5c75a7246da243b858176652a42d1e7bd571884321944b20a673e7d4f9	667	36b570be28655d4f5f3baf69e6e06b8b31b1c93483b69f29f75cf602085fbd9c	published_path_sanitized	$SYNTAX_ROOT replaces private temporary root; reverse substitution verified; exit 0.
configure_command	N/A	N/A	N/A	N/A	N/A	public_reconstruction	./configure --prefix=$BUILD_ROOT/install --with-x=no --with-readline=no --enable-xspice --disable-debug
make_command	N/A	N/A	N/A	N/A	N/A	public_reconstruction	make -j4
build_process_custody	N/A	N/A	N/A	N/A	N/A	identity_only	One background make process; one wait timeout followed by collection of the same process, not a retry.
