metric_name	value	description
raw_file_sha256	ca3a31431c211d61024e245bb9d8f3a1f791fd7a7652e86db607db2ea2f453ac	SHA-256 of retained binary raw dataset.
raw_file_size_bytes	7857477	Total byte size.
header_size_bytes	18789	ASCII header size through and including Binary marker.
payload_size_bytes	7838688	IEEE-754 double-precision binary payload size.
payload_sha256	26c62c1942b552ae609f6eb57e9746ee30ad77b7a5c6e433c118ddd965de3de7	SHA-256 of binary payload.
preceding_run_payload_relation	BYTE_IDENTICAL	Payload matches preceding published Ibe-source run.
variable_count	429	Real variables recorded per point.
point_count	2284	Transient time points.
total_scalar_count	979836	variable_count multiplied by point_count.
finite_scalar_count	979836	Finite scalars from direct parse.
nonfinite_scalar_count	0	NaN or infinity scalars from direct parse.
time_start_s	0.00000000000000000e+00	First variable-0 value.
time_end_s	4.00000000000000025e-09	Last variable-0 value.
time_strictly_monotonic_boolean	TRUE	Every parsed time exceeds predecessor.
engineering_pass_from_raw_finiteness	NOT_ESTABLISHED	Finite saved vectors do not override internal non-finite diagnostics or establish circuit status.
