assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	N/A	exact unmodified base niiter.c (retained tree)	bridge	SHA bound 270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af; size 14124 B; newline count 371; splitlines(keepends=True) count 371; ends_newline True — the final line IS newline-terminated (Audit V4's 'splitlines 372 / unterminated' claim retracted)	V5 correction of BRIDGE_BASE	bridge_row
BRIDGE_PATCH	src/maths/ni/niiter.c	1e71ee86083496610cadd1f6f595b908e02aec2dc0653a0c9fb8eda4aae548cf	N/A	NGSPICE46-NIITER-VBIC-THERMAL-VECTOR-PROBE-V4.patch (UNAPPLIED)	bridge	SHA bound 1e71ee86083496610cadd1f6f595b908e02aec2dc0653a0c9fb8eda4aae548cf; dry-run and git apply --check both 0 (independently re-confirmed); applied source 687e2f85776c7c1a064a980e333502aefd8162c4dd3a360412845a7a923e9625 (451 lines) byte-for-byte retained	Patch V4 preserved unchanged	bridge_row
BRIDGE_V3_PROVENANCE	src/maths/ni/niiter.c	687e2f85776c7c1a064a980e333502aefd8162c4dd3a360412845a7a923e9625	N/A	provenance correction (Audit V4's '(and CKTtime)' claim retracted)	bridge	the proven defect is CKTmode mutation at the cited applied sites :398/:402/:405/:409/:411 (ckt->CKTmode = (ckt->CKTmode & ~INITF) | MODEINITFIX/FLOAT; assignments); CKTtime is NOT mutated anywhere between the load-site capture (:127) and the emit (:432) — verified: CKTtime appears in the applied source only at the capture line and the emit format line; time is snapshotted solely for coherent load-site provenance (capture/emit labeling), not because it can change	V5 correction of BRIDGE_V3_PROVENANCE	bridge_row
BRIDGE_MARKER	src/maths/ni/niiter.c	687e2f85776c7c1a064a980e333502aefd8162c4dd3a360412845a7a923e9625	N/A	marker string [VBIC_THERMAL_VECTOR_PROBE]	bridge	exactly one fprintf literal in the applied source (+comment mentions)	marker count	bridge_row
BRIDGE_SCOPE	src/maths/ni/niiter.c	687e2f85776c7c1a064a980e333502aefd8162c4dd3a360412845a7a923e9625	N/A	write boundary	bridge	reads: circuit/model identity + ckt->CKTrhs/ckt->CKTrhsOld + ckt->CKTtime/ckt->CKTmode at the load site; writes: stderr + vtp_printed only; no matrix/RHS/state/model/limiter/integration arithmetic or control flow changed; no matrix-field access, no SMPfindElt, no diagonal/conductance inference, no per-device causality claim	probe contract	bridge_row
UNCHANGED_21	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	21	#include "ngspice/fteext.h"	unchanged_original	include context: ngspice/fteext.h (unchanged)	anchor/context	unchanged_original
UNCHANGED_23	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	23	/* Limit the number of 'singular matrix' warnings */	unchanged_original	static int msgcount = 0; (unchanged)	anchor/context	unchanged_original
UNCHANGED_57	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	57	    if (ckt->CKTniState & NIUNINITIALIZED) {	unchanged_original	if (ckt->CKTniState & NIUNINITIALIZED) { — NIreinit block opener (unchanged)	anchor/context	unchanged_original
UNCHANGED_58	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	58	        error = NIreinit(ckt); /* always returns 0 */	unchanged_original	error = NIreinit(ckt); /* always returns 0 */ — unchanged; resolver block sits immediately AFTER this block	anchor/context	unchanged_original
UNCHANGED_65	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	65	    }	unchanged_original	NIreinit block close (unchanged)	anchor/context	unchanged_original
UNCHANGED_69	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	69	    for (;;) {	unchanged_original	for (;;) { — unchanged; resolver block sits immediately before; per-entry probe reset inserted immediately after	anchor/context	unchanged_original
UNCHANGED_78	src/maths/ni/niiter.c	270de96a44bc550a5edb21801b9e728e8bf9d6bdb44d78a9125e655e730192af	78	            error = CKTload(ckt);	unchanged_original	error = CKTload(ckt); — unchanged; load-site captures (old_before_load, time_at_load, mode_at_load) immediately before	anchor/context	unchanged_original
