assertion_id	source_file	source_sha256	physical_line	source_literal	classification	observed_values	upstream_v4_assertion	provenance_class
BRIDGE_BASE	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	N/A	byte-exact V1 applied base vbicload.c (vrth-transition V1)	bridge	base lines=4454; SHA bound c571a9c6	lineage ... -> 92123daa -> c571a9c6	bridge_row
BRIDGE_PATCH	vbicload.c	342e2a04a4a26cc940c6798397e8d8cd53f6cab27c58cad8960f67fc5e68726a	N/A	NGSPICE46-VBIC-VRTH-TRANSITION-DIAGNOSTIC-V2.patch (SHA-256 342e2a04a4a26cc940c6798397e8d8cd53f6cab27c58cad8960f67fc5e68726a, 1507 B)	bridge	one hunk; one addition / one deletion; changes only line 1083 CKTmode %d -> %ld; dry-run and git apply --check pass on pristine base copy; apply-once byte-identical	applies once to base c571a9c6	bridge_row
BRIDGE_REPAIRED	vbicload.c	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	N/A	repaired source vbicload_vrth_transition_diag_v2.c	bridge	repaired lines=4454 (215847 bytes); SHA bound 59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	base + V2 patch	bridge_row
BRIDGE_SCOPE	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1083	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(local): %a (isfinite=%d) | state0_after_write(direct read): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %d\n",	bridge	byte-diff scope proof: exactly one hunk, one deleted line, one added line; only difference is CKTmode %d -> %ld; all other lines byte-identical	V2 changes only the transition-marker CKTmode conversion	bridge_row
BRIDGE_FORMAT_PAIRING	vbicload.c	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	N/A	format pairing evidence	bridge	cktdefs.h line 165 declares CKTmode as long (src/include/ngspice/cktdefs.h, SHA-256 6e180f74efdae65793a5b5baa316b8fcd4e59782ed8bda5165dd8cd19b692672); fprintf argument 14 is ckt->CKTmode; the observed -Wformat warning recommended %ld (long int)	syntax log 59802ff5 (single warning at vbicload.c:1083:296)	bridge_row
CHG_1083_D	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1083	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(local): %a (isfinite=%d) | state0_after_write(direct read): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %d\n",	deleted original line: transition-marker fprintf format with CKTmode %d	deleted original line	byte-exact old literal	one-conversion-only
CHG_1083_A	vbicload.c	59d875679da675ef8daedbd151e91b39b27a13ae197530af40650c62e3e75172	1083	                fprintf(stderr, "\n[VBIC_VRTH_TRANSITION_DIAGNOSTIC] Site: state0_writeback@1075 | stored_before: %a (isfinite=%d) | Vrth(local): %a (isfinite=%d) | state0_after_write(direct read): %a (isfinite=%d) | state1: %a (isfinite=%d) | state2: %a (isfinite=%d) | CKTtime: %g | CKTmode: %ld\n",	added repaired line: transition-marker fprintf format with CKTmode %ld	added repaired line	byte-exact new literal; only CKTmode %d -> %ld changed	one-conversion-only
UNCHANGED_1075	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1075	            double stored_before = *(ckt->CKTstate0 + here->VBICvrth);	unchanged original line (context)	pre-trigger read	stored_before capture (read-only, immediately before the writeback)	format pairing proof
UNCHANGED_1076	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1076	            *(ckt->CKTstate0 + here->VBICvrth)      = Vrth;	unchanged original line (context)	writeback	unchanged singular writeback state0[VBICvrth] = Vrth (byte-exact; executes once per load)	format pairing proof
UNCHANGED_1077	vbicload.c	c571a9c68e959c570b1680ff5cf6e51bab5e97071b5f49b3875360e6cffc9898	1077	            /* [VBIC_VRTH_TRANSITION_DIAGNOSTIC] read-only demonstrated-transition marker (target-gated, first-occurrence) */	unchanged original line (context)	comment	marker comment (non-executable, preceding the runtime trigger)	format pairing proof
