kind	name	raw_key	value	unit
plot	plot_name	Plotname	Operating Point	-
plot	variable_count	No. Variables	398	count
plot	point_count	No. Points	1	count
plot	finite_scalar_count	parsed	398	count
plot	nonfinite_scalar_count	parsed	0	count
port	PBIT_OUT	v(pbit_out)	3.369403394560e-03	V
port	PBIT_RAW	v(pbit_raw)	7.908516461518e-01	V
port	CLK_OUT_DIV	v(clk_out_div)	4.768786447919e-08	V
port	CLK_P	v(clk_p)	1.200000000000e+00	V
port	CLK_N	v(clk_n)	0.000000000000e+00	V
port	TRIM_P	v(trim_p)	8.000000000000e-01	V
port	TRIM_N	v(trim_n)	8.000000000000e-01	V
port	NOISE_GEN_VCC	v(noise_gen_vcc)	2.500000000000e+00	V
port	NOISE_GEN_VSS	v(noise_gen_vss)	0.000000000000e+00	V
port	NOISE_AMP_VCC	v(noise_amp_vcc)	2.500000000000e+00	V
port	NOISE_AMP_VSS	v(noise_amp_vss)	0.000000000000e+00	V
port	COMPARATOR_VCC_HBT	v(comparator_vcc_hbt)	2.500000000000e+00	V
port	VDD	v(vdd)	1.200000000000e+00	V
port	COMPARATOR_VSS	v(comparator_vss)	0.000000000000e+00	V
port	VB1	v(vb1)	4.713256905476e-01	V
port	VB2	v(vb2)	4.713256905476e-01	V
port	IE	v(ie)	-3.974311876486e-01	V
supply_current	V_NOISE_GEN_VCC	i(v_noise_gen_vcc)	-2.002926544282e-03	A
supply_current	V_NOISE_GEN_VSS	i(v_noise_gen_vss)	2.000000002823e-03	A
supply_current	V_NOISE_AMP_VCC	i(v_noise_amp_vcc)	-6.530764528748e-03	A
supply_current	V_NOISE_AMP_VSS	i(v_noise_amp_vss)	6.531194410989e-03	A
supply_current	V_COMPARATOR_VCC_HBT	i(v_comparator_vcc_hbt)	-3.079017917206e-03	A
supply_current	V_VDD	i(v_vdd)	-2.275921830168e-04	A
supply_current	V_COMPARATOR_VSS	i(v_comparator_vss)	3.309270873132e-03	A
