top_port_index	top_port_name	direction	declaration_line	declaration_literal	intended_testbench_role	planned_value_or_load	value_authority_class	value_source_file_relative_path	value_source_line
1	PBIT_OUT	out	26	C {devices/opin.sym} 300 -10 0 0 {name=p1 lab=PBIT_OUT}	Stochastic Bit Stream Output Observation	UNKNOWN	UNKNOWN	ABSENT	ABSENT
2	PBIT_RAW	out	27	C {devices/opin.sym} 300 10 0 0 {name=p2 lab=PBIT_RAW}	Raw Unlatched Comparator Output Observation	UNKNOWN	UNKNOWN	ABSENT	ABSENT
3	CLK_OUT_DIV	out	28	C {devices/opin.sym} 300 30 0 0 {name=p3 lab=CLK_OUT_DIV}	Divided Clock Monitor Output Observation	UNKNOWN	UNKNOWN	ABSENT	ABSENT
4	CLK_P	in	29	C {devices/ipin.sym} 140 -10 0 0 {name=p4 lab=CLK_P}	Differential Clock Positive Stimulus Drive	UNKNOWN	UNKNOWN	ABSENT	ABSENT
5	CLK_N	in	30	C {devices/ipin.sym} 140 10 0 0 {name=p5 lab=CLK_N}	Differential Clock Negative Stimulus Drive	UNKNOWN	UNKNOWN	ABSENT	ABSENT
6	TRIM_P	in	31	C {devices/ipin.sym} 140 30 0 0 {name=p6 lab=TRIM_P}	Differential Trim DAC Positive Control Drive	UNKNOWN	UNKNOWN	ABSENT	ABSENT
7	TRIM_N	in	32	C {devices/ipin.sym} 140 50 0 0 {name=p7 lab=TRIM_N}	Differential Trim DAC Negative Control Drive	UNKNOWN	UNKNOWN	ABSENT	ABSENT
8	NOISE_GEN_VCC	inout	33	C {devices/iopin.sym} -140 -40 0 0 {name=p8 lab=NOISE_GEN_VCC}	Noise Generator Analogue Load Supply	2.5V DC	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	17
9	NOISE_GEN_VSS	inout	34	C {devices/iopin.sym} -140 40 0 0 {name=p9 lab=NOISE_GEN_VSS}	Noise Generator Analogue Ground Reference	0.0V Ground Reference	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	17
10	NOISE_AMP_VCC	inout	35	C {devices/iopin.sym} 60 -30 0 0 {name=p10 lab=NOISE_AMP_VCC}	Preamplifier Analogue Active Load Supply	UNKNOWN	UNKNOWN	ABSENT	ABSENT
11	NOISE_AMP_VSS	inout	36	C {devices/iopin.sym} 60 30 0 0 {name=p11 lab=NOISE_AMP_VSS}	Preamplifier Analogue Ground Reference	UNKNOWN	UNKNOWN	ABSENT	ABSENT
12	COMPARATOR_VCC_HBT	inout	37	C {devices/iopin.sym} 260 -50 0 0 {name=p12 lab=COMPARATOR_VCC_HBT}	Comparator CML / Emitter-Follower Supply	2.500V DC	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	tb_full_array_code0_modelvalid_2x8_900ua.cir	83
13	VDD	inout	38	C {devices/iopin.sym} 260 -30 0 0 {name=p13 lab=VDD}	Comparator 1.2V CMOS Level-Shifter Supply	1.200V DC	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	tb_full_array_code0_modelvalid_2x8_900ua.cir	84
14	COMPARATOR_VSS	inout	39	C {devices/iopin.sym} 260 50 0 0 {name=p14 lab=COMPARATOR_VSS}	Comparator Ground Reference	0.000V DC Ground	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	tb_full_array_code0_modelvalid_2x8_900ua.cir	85
15	VB1	in	40	C {devices/ipin.sym} -260 -20 0 0 {name=p15 lab=VB1}	Noise Generator HBT Q1 Base Bias Input	0.872V VCM Lineage	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	20
16	VB2	in	41	C {devices/ipin.sym} -260 -40 0 0 {name=p16 lab=VB2}	Noise Generator HBT Q2 Base Bias Input	0.872V VCM Lineage	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	20
17	IE	inout	42	C {devices/iopin.sym} -140 20 0 0 {name=p17 lab=IE}	Noise Generator Shared Emitter Node	2.0mA Tail Current Sink	LINEAGE_ONLY / UNKNOWN_TOP_DECISION	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	10
