top_port_index	top_port_name	direction	intended_testbench_role	value_or_load	source_line	source_file_relative_path	source_file_sha256
1	PBIT_OUT	out	Stochastic Bit Stream Output Observation	50fF Load Cap / Probe	13	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
2	PBIT_RAW	out	Raw Unlatched Comparator Output Observation	50fF Load Cap / Probe	14	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
3	CLK_OUT_DIV	out	Divided Clock Monitor Output Observation	50fF Load Cap / Probe	15	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
4	CLK_P	in	Differential Clock Positive Stimulus Drive	5.0 GHz (Vcm=0.90V, Vdiff=+0.30V)	18	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
5	CLK_N	in	Differential Clock Negative Stimulus Drive	5.0 GHz (Vcm=0.90V, Vdiff=-0.30V)	19	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
6	TRIM_P	in	Differential Trim DAC Positive Control Drive	Code 0..1023 (Span 95.66mV)	20	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
7	TRIM_N	in	Differential Trim DAC Negative Control Drive	Code 0..1023 (Span 95.66mV)	21	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
8	NOISE_GEN_VCC	inout	Noise Generator Analogue Load Supply	2.5V DC (tb_p1_noise_gen Line 17)	17	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64
9	NOISE_GEN_VSS	inout	Noise Generator Analogue Substrate Ground	0.0V Ground Reference	17	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64
10	NOISE_AMP_VCC	inout	Preamplifier Analogue Active Load Supply	2.5V DC Lineage	18	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
11	NOISE_AMP_VSS	inout	Preamplifier Analogue Ground Reference	0.0V Ground Reference	19	cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50
12	COMPARATOR_VCC_HBT	inout	Comparator CML / Emitter-Follower Supply	2.500V DC (tb_full_array Line 83)	83	tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0
13	VDD	inout	Comparator 1.2V CMOS Level-Shifter Supply	1.200V DC (tb_full_array Line 84)	84	tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0
14	COMPARATOR_VSS	inout	Comparator Ground Reference	0.000V DC (tb_full_array Line 85)	85	tb_full_array_code0_modelvalid_2x8_900ua.cir	5a391a7292b48994f61d276bae88b6fe0ef892c813186f08f3e68da56452aca0
15	VB1	in	Noise Generator HBT Q1 Base Bias Input	0.872V VCM Lineage / UNKNOWN_TOP_DECISION	20	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64
16	VB2	in	Noise Generator HBT Q2 Base Bias Input	0.872V VCM Lineage / UNKNOWN_TOP_DECISION	20	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64
17	IE	inout	Noise Generator Shared Emitter Node	2.0mA Tail Current Sink / UNKNOWN_TOP_DECISION	10	cace_ihp_sg13g2_demo/runs/p1_noise_gen_run/tb_p1_noise_gen.spice	1bc05c2814996ec2e9372da263aa2941f5b89dfb370eeb34de20bf6da822cf64
